Date,Ticker,Price,Company,Return,COVID_Period,Ukraine_War_Period
2019-01-01,AUG1L.VS,0.4000000059604645,AUGA Group,,0,0
2019-01-02,AUG1L.VS,0.39800000190734863,AUGA Group,-0.005000010058283655,0,0
2019-01-03,AUG1L.VS,0.39800000190734863,AUGA Group,0.0,0,0
2019-01-04,AUG1L.VS,0.39399999380111694,AUGA Group,-0.01005027157553351,0,0
2019-01-07,AUG1L.VS,0.39399999380111694,AUGA Group,0.0,0,0
2019-01-08,AUG1L.VS,0.3840000033378601,AUGA Group,-0.025380686854286183,0,0
2019-01-09,AUG1L.VS,0.38999998569488525,AUGA Group,0.01562495391893548,0,0
2019-01-10,AUG1L.VS,0.38600000739097595,AUGA Group,-0.010256355001609374,0,0
2019-01-11,AUG1L.VS,0.3880000114440918,AUGA Group,0.005181357551348631,0,0
2019-01-14,AUG1L.VS,0.38199999928474426,AUGA Group,-0.015463948408187322,0,0
2019-01-15,AUG1L.VS,0.38199999928474426,AUGA Group,0.0,0,0
2019-01-16,AUG1L.VS,0.38199999928474426,AUGA Group,0.0,0,0
2019-01-17,AUG1L.VS,0.3880000114440918,AUGA Group,0.01570683814288465,0,0
2019-01-18,AUG1L.VS,0.3880000114440918,AUGA Group,0.0,0,0
2019-01-21,AUG1L.VS,0.39800000190734863,AUGA Group,0.025773170536872003,0,0
2019-01-22,AUG1L.VS,0.3840000033378601,AUGA Group,-0.03517587563416047,0,0
2019-01-23,AUG1L.VS,0.38600000739097595,AUGA Group,0.00520834384304969,0,0
2019-01-24,AUG1L.VS,0.3959999978542328,AUGA Group,0.025906710548655232,0,0
2019-01-25,AUG1L.VS,0.3840000033378601,AUGA Group,-0.030303016619686596,0,0
2019-01-28,AUG1L.VS,0.38199999928474426,AUGA Group,-0.005208343843049801,0,0
2019-01-29,AUG1L.VS,0.3799999952316284,AUGA Group,-0.005235612714294846,0,0
2019-01-30,AUG1L.VS,0.3840000033378601,AUGA Group,0.010526337253750517,0,0
2019-01-31,AUG1L.VS,0.38600000739097595,AUGA Group,0.00520834384304969,0,0
2019-02-01,AUG1L.VS,0.38600000739097595,AUGA Group,0.0,0,0
2019-02-04,AUG1L.VS,0.3880000114440918,AUGA Group,0.005181357551348631,0,0
2019-02-05,AUG1L.VS,0.3880000114440918,AUGA Group,0.0,0,0
2019-02-06,AUG1L.VS,0.3880000114440918,AUGA Group,0.0,0,0
2019-02-07,AUG1L.VS,0.3880000114440918,AUGA Group,0.0,0,0
2019-02-08,AUG1L.VS,0.3880000114440918,AUGA Group,0.0,0,0
2019-02-11,AUG1L.VS,0.3880000114440918,AUGA Group,0.0,0,0
2019-02-12,AUG1L.VS,0.3799999952316284,AUGA Group,-0.020618597877583134,0,0
2019-02-13,AUG1L.VS,0.37599998712539673,AUGA Group,-0.010526337253750517,0,0
2019-02-14,AUG1L.VS,0.3799999952316284,AUGA Group,0.010638319795733597,0,0
2019-02-15,AUG1L.VS,0.38600000739097595,AUGA Group,0.015789505880625665,0,0
2019-02-18,AUG1L.VS,0.3880000114440918,AUGA Group,0.005181357551348631,0,0
2019-02-19,AUG1L.VS,0.3880000114440918,AUGA Group,0.0,0,0
2019-02-20,AUG1L.VS,0.38600000739097595,AUGA Group,-0.005154649469395811,0,0
2019-02-21,AUG1L.VS,0.38600000739097595,AUGA Group,0.0,0,0
2019-02-22,AUG1L.VS,0.38600000739097595,AUGA Group,0.0,0,0
2019-02-25,AUG1L.VS,0.38600000739097595,AUGA Group,0.0,0,0
2019-02-26,AUG1L.VS,0.3880000114440918,AUGA Group,0.005181357551348631,0,0
2019-02-27,AUG1L.VS,0.38600000739097595,AUGA Group,-0.005154649469395811,0,0
2019-02-28,AUG1L.VS,0.3880000114440918,AUGA Group,0.005181357551348631,0,0
2019-03-01,AUG1L.VS,0.3720000088214874,AUGA Group,-0.041237118945059215,0,0
2019-03-04,AUG1L.VS,0.3659999966621399,AUGA Group,-0.016129064562003248,0,0
2019-03-05,AUG1L.VS,0.3619999885559082,AUGA Group,-0.010928983996478459,0,0
2019-03-06,AUG1L.VS,0.3540000021457672,AUGA Group,-0.022099410671405195,0,0
2019-03-07,AUG1L.VS,0.36000001430511475,AUGA Group,0.016949186788074888,0,0
2019-03-08,AUG1L.VS,0.35600000619888306,AUGA Group,-0.011111133186904598,0,0
2019-03-11,AUG1L.VS,0.35600000619888306,AUGA Group,0.0,0,0
2019-03-12,AUG1L.VS,0.36000001430511475,AUGA Group,0.01123597763084594,0,0
2019-03-13,AUG1L.VS,0.35600000619888306,AUGA Group,-0.011111133186904598,0,0
2019-03-14,AUG1L.VS,0.35600000619888306,AUGA Group,0.0,0,0
2019-03-15,AUG1L.VS,0.3659999966621399,AUGA Group,0.02808986036272776,0,0
2019-03-18,AUG1L.VS,0.36000001430511475,AUGA Group,-0.01639339456760658,0,0
2019-03-19,AUG1L.VS,0.3659999966621399,AUGA Group,0.016666616996131367,0,0
2019-03-20,AUG1L.VS,0.36000001430511475,AUGA Group,-0.01639339456760658,0,0
2019-03-21,AUG1L.VS,0.3659999966621399,AUGA Group,0.016666616996131367,0,0
2019-03-22,AUG1L.VS,0.36000001430511475,AUGA Group,-0.01639339456760658,0,0
2019-03-25,AUG1L.VS,0.36000001430511475,AUGA Group,0.0,0,0
2019-03-26,AUG1L.VS,0.3619999885559082,AUGA Group,0.005555483809226658,0,0
2019-03-27,AUG1L.VS,0.36000001430511475,AUGA Group,-0.005524790922706302,0,0
2019-03-28,AUG1L.VS,0.3659999966621399,AUGA Group,0.016666616996131367,0,0
