Date,ABF.L,AD.AS,ADM,AKO1L.VS,AST.WA,AUG1L.VS,B4B.HM,BG,CABGY,DANOY,HEIA.AS,IMC.WA,KER.WA,KYGA.L,MHPC.L,MOWI.OL,NSIS-B.CO,NSRGY,OCI.AS,ORK.OL,PZV1L.VS,SALM.OL,SDF.DE,TSN,UL,YAR.OL,ZMP1L.VS
2019-01-01,,,,0.5661841630935669,21.87040138244629,0.4000000059604645,,,,,,11.854755401611328,47.63128662109375,,,,,,,,0.6425788998603821,,,,,,1.3945693969726562
2019-01-02,2068.65771484375,16.71761703491211,33.04026412963867,0.5661841630935669,22.345844268798828,0.39800000190734863,,42.85063552856445,16.98052215576172,11.000709533691406,66.8030014038086,11.719532012939453,48.84760665893555,78.67588806152344,8.315828323364258,146.9258575439453,256.84930419921875,65.29322814941406,1.7951667308807373,44.6494026184082,0.6425788998603821,316.4066162109375,14.025556564331055,43.443546295166016,45.797393798828125,203.87884521484375,1.413163661956787
2019-01-03,2098.60888671875,16.75164031982422,32.89502716064453,0.5661841630935669,22.250755310058594,0.39800000190734863,,42.83458709716797,16.900611877441406,11.040395736694336,66.12434387207031,11.719532012939453,48.409732818603516,80.64164733886719,8.315828323364258,145.4160919189453,254.53134155273438,66.95466613769531,1.739227056503296,44.98260498046875,0.6425788998603821,311.4029541015625,13.831056594848633,44.371856689453125,45.58647537231445,204.61753845214844,1.4689464569091797
2019-01-04,2155.517333984375,16.891521453857422,33.65345764160156,0.5661841630935669,22.250755310058594,0.39399999380111694,,44.021541595458984,17.340105056762695,11.230883598327637,67.63825225830078,11.719532012939453,47.67993927001953,81.69309997558594,8.155135154724121,146.60804748535156,261.30694580078125,68.0785903930664,1.8811111450195312,45.70233154296875,0.628760039806366,318.90838623046875,14.449132919311523,44.917442321777344,46.33351135253906,218.9604949951172,1.4689464569091797
2019-01-07,2150.525390625,16.917984008789062,33.82290267944336,0.5661841630935669,22.345844268798828,0.39399999380111694,,44.39046859741211,17.268190383911133,11.103891372680664,65.91553497314453,11.719532012939453,47.33937072753906,83.20170593261719,8.155135154724121,142.23757934570312,260.77203369140625,67.36188507080078,1.9319658279418945,45.728981018066406,0.628760039806366,311.1086120605469,14.864062309265137,45.64219284057617,45.990745544433594,221.23809814453125,1.4875407218933105
2019-01-08,2227.40087890625,17.076772689819336,34.45222854614258,0.5617608428001404,22.440933227539062,0.3840000033378601,,44.695213317871094,17.14832878112793,11.175325393676758,66.36797332763672,11.494155883789062,47.825897216796875,82.83597564697266,8.114962577819824,140.56886291503906,266.477783203125,67.57364654541016,1.9462049007415771,45.6756706237793,0.6425788998603821,309.3426513671875,14.96779727935791,46.86366271972656,45.99952697753906,224.68533325195312,1.5247292518615723
2019-01-09,2264.341552734375,16.933109283447266,34.75075912475586,0.5617608428001404,22.345844268798828,0.38999998569488525,,45.75386047363281,17.276182174682617,11.27056884765625,66.19397735595703,11.719532012939453,47.48532485961914,84.52743530273438,8.235481262207031,144.1446990966797,269.4198303222656,68.20075988769531,2.007230281829834,45.835601806640625,0.6494882702827454,314.7876892089844,14.980762481689453,46.049339294433594,45.612857818603516,225.91647338867188,1.5340262651443481
2019-01-10,2243.37548828125,17.095670700073242,34.99283218383789,0.5617608428001404,22.726198196411133,0.38600000739097595,,45.449100494384766,17.396045684814453,11.310254096984863,67.09881591796875,11.944907188415527,47.92319869995117,85.03031158447266,8.114962577819824,146.68751525878906,273.34259033203125,68.73014068603516,2.0260467529296875,46.302101135253906,0.6563977003097534,320.5272216796875,14.794906616210938,46.87179946899414,45.83255386352539,225.3624725341797,1.5340262651443481
2019-01-11,2239.382080078125,16.952011108398438,34.823387145996094,0.5617608428001404,23.01146697998047,0.3880000114440918,,44.68721008300781,17.827550888061523,11.318190574645996,67.429443359375,12.170283317565918,47.63128662109375,83.24742126464844,8.114962577819824,148.67404174804688,265.2296142578125,68.827880859375,1.9640040397644043,46.448707580566406,0.6425788998603821,314.9349670410156,14.526932716369629,47.09165954589844,46.05226516723633,221.73057556152344,1.5340262651443481
2019-01-14,2221.4111328125,16.92176628112793,34.57326126098633,0.5617608428001404,23.29673194885254,0.38199999928474426,,43.756893157958984,17.547868728637695,11.262632369995117,65.32389831542969,11.944907188415527,47.67993927001953,83.52171325683594,8.114962577819824,149.70704650878906,261.3960876464844,68.7627182006836,1.9375593662261963,45.98221206665039,0.6425788998603821,314.9349670410156,14.544222831726074,47.04280471801758,45.48100662231445,221.79209899902344,1.5340262651443481
2019-01-15,2227.40087890625,16.868837356567383,35.081581115722656,0.5617608428001404,22.631107330322266,0.38199999928474426,,42.69022750854492,17.635770797729492,11.334063529968262,66.54198455810547,11.944907188415527,47.43667221069336,82.42453002929688,8.114962577819824,148.5945587158203,261.6635437011719,68.97447967529297,2.0097732543945312,45.99554443359375,0.6425788998603821,316.1122741699219,14.466421127319336,47.71054458618164,45.911651611328125,223.6388397216797,1.5340262651443481
2019-01-16,2174.487060546875,16.887741088867188,34.936344146728516,0.5617608428001404,23.201641082763672,0.38199999928474426,,42.000526428222656,17.635770797729492,11.135639190673828,65.35871124267578,12.5308837890625,47.72858810424805,82.92741394042969,8.114962577819824,145.6147003173828,262.0201721191406,68.42064666748047,1.9777345657348633,46.102176666259766,0.551374077796936,316.84808349609375,14.392943382263184,47.63725280761719,45.34918212890625,220.00692749023438,1.5340262651443481
2019-01-17,2326.241455078125,16.902862548828125,35.02510070800781,0.5617608428001404,23.106552124023438,0.3880000114440918,,41.976463317871094,17.81955909729004,11.222946166992188,65.6893310546875,12.35058307647705,47.48532485961914,83.79600524902344,8.114962577819824,147.12448120117188,265.6754150390625,68.83601379394531,1.9762089252471924,46.16880798339844,0.551374077796936,314.9349670410156,14.328109741210938,48.361976623535156,45.753456115722656,220.00692749023438,1.5247292518615723
2019-01-18,2347.20751953125,17.05408477783203,35.710914611816406,0.5617608428001404,23.677085876464844,0.3880000114440918,,42.52982711791992,18.019329071044922,11.286442756652832,65.9503402709961,12.305506706237793,48.166465759277344,84.39031219482422,8.114962577819824,150.9784393310547,267.19097900390625,68.92559814453125,2.044354200363159,47.14176940917969,0.551374077796936,325.9723815917969,14.777619361877441,49.64045715332031,45.990745544433594,220.37628173828125,1.5340262651443481
